col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
341,1,TypeB,39400,000000000000000000000000000000000000000000000000011111111000000000011111110000000000011111110000000000011111110000000000000000000111111110000000000000000000000000000000,1,0,1245420.6499661496
342,2,TypeB,39400,000000000000000000000000000000000000000000000000011111111000000000011111110000000000011111110000000000011111110000000000000000000111111110000000000000000000000000000000,1,0,1245420.6499661477
343,3,TypeC,33500,000000111111000000000000000000000000011111100000000000001111100000000000011111100000000000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,1011067.5693974295
344,4,TypeC,33500,000000111111000000000000000000000000011111100000000000001111100000000000011111100000000000000000000000000000000000000000000000000000011111100000000000000000000000000000,1,0,1011067.569397429
345,0,TypeA,53100,000000000000000000000111111111100000000000000000000000001111111110000000000000111111111100000000000000011111111110000000000000000000000000000000000000001111111110000000,1,0,454070.34529451374
346,1,TypeB,40400,000000111111110000000000000000000000000000000000011111111000000000011111110000000000000000000000000000011111110000000000000000000111111110000000000000000000000000000000,1,0,1.862645149230957e-09
347,2,TypeB,40400,000000111111110000000000000000000000000000000000011111111000000000011111110000000000000000000000000000011111110000000000000000000111111110000000000000000000000000000000,1,0,0.0
348,3,TypeC,30500,000000000000000000000111111000000000000000000000011111100000000000000000011111100000000000000000000000000000000000000000000000111110000000000000000000111111000000000000,1,0,325026.7433987786
349,4,TypeC,30500,000000000000000000000111111000000000000000000000011111100000000000000000011111100000000000000000000000000000000000000000000000111110000000000000000000111111000000000000,1,0,325026.74339877814
350,0,TypeA,51600,000000111111111100000000000000000000000000000000000000011111111110000000000000111111111100000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,734894.7190250456
351,1,TypeB,41400,000000111111110000000000000000000000000000000000000000000000000011111110000000000000011111111000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,0.0
352,2,TypeB,41400,000000111111110000000000000000000000000000000000000000000000000011111110000000000000011111111000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,-1.862645149230957e-09
353,3,TypeC,31900,000000111100000000000000000000000000000000000000000000011111100000000000000000000000000000000000000000000000000011111100000000000000011111100000000000111111000000000000,1,0,925728.0297901155
354,4,TypeC,31900,000000111100000000000000000000000000000000000000000000011111100000000000000000000000000000000000000000000000000011111100000000000000011111100000000000111111000000000000,1,0,925728.0297901151
355,0,TypeA,54200,000000000000011111111100000000000000000011111111110000000000000000000011111111110000000000000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,1923393.568043326
356,1,TypeB,41400,001111111100000000000000111111100000000000000000011111111000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,640970.886932971
357,2,TypeB,41400,001111111100000000000000111111100000000000000000011111111000000000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,640970.8869329691
358,3,TypeC,33100,000000000000000000000000000000000000011111100000000000011111000000000000000111110000000000000000000000000000000000000000000000000000011111100000000000000001111110000000,1,0,347446.8517264724
359,4,TypeC,33100,000000000000000000000000000000000000011111100000000000011111000000000000000111110000000000000000000000000000000000000000000000000000011111100000000000000001111110000000,1,0,347446.8517264719
360,0,TypeA,53400,000000000000000000000000111111111100000000000000000000011111111110000000000000111111111100000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,110992.41706160549
361,1,TypeB,40500,000000000000000000000000000000000111111110000000000000011111100000000000000000000000000000000000000000000011111110000000000000000111111110000000000000111111100000000000,1,0,728444.8882870665
362,2,TypeB,40500,000000000000000000000000000000000111111110000000000000011111100000000000000000000000000000000000000000000011111110000000000000000111111110000000000000111111100000000000,1,0,728444.8882870646
363,3,TypeC,34200,000000000000000000000000000000000000011111100000000000011111100000000000011111100000000000000000000000000000000000011111100000000000000000000000000000000001111110000000,1,0,275589.23493568273
364,4,TypeC,34200,000000000000000000000000000000000000011111100000000000011111100000000000011111100000000000000000000000000000000000011111100000000000000000000000000000000001111110000000,1,0,275589.23493568227
365,0,TypeA,49100,000000000000111111111100000000000000000000000000000000000001111111110000000000000000000000000000000000011111111110000000000000000011111111100000000000001111111110000000,1,0,1444421.5301286383
366,1,TypeB,38100,001111111100000000000000111111100000000000000000000000000000000000011111110000000000000000000000000000000011111110000000000000000011111110000000000000000000000000000000,1,0,380781.3134732563
367,2,TypeB,38100,001111111100000000000000111111100000000000000000000000000000000000011111110000000000000000000000000000000011111110000000000000000011111110000000000000000000000000000000,1,0,380781.31347325444
