col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
165,0,TypeA,52600,000000000000000000000000111111111100000000000000000000000001111111110000000000000011111111000000000000011111111100000000000000000000000000000011111111110000000000000000,1,0
166,1,TypeB,41500,000000000000000000000000001111111100000000000000000000000000000000000000000000000011111110000000000000000000011111110000000000111111110000000000000000000000011111110000,1,0
167,2,TypeB,41500,000000000000000000000000001111111100000000000000000000000000000000000000000000000011111110000000000000000000011111110000000000111111110000000000000000000000011111110000,1,0
168,3,TypeC,24800,000000000000011110000000000000000000000000000000111000000000000000000000000000111110000000000000000000000000000000000000001111110000000000000011111000000000000000000000,1,0
169,4,TypeC,24800,000000000000011110000000000000000000000000000000111000000000000000000000000000111110000000000000000000000000000000000000001111110000000000000011111000000000000000000000,1,0
170,0,TypeA,58200,000000000000111111111100000000000000000000000000111111111000000000000000000000000000000011111111100000000000000111111111100000000000000000000011111111110000000000000000,1,0
171,1,TypeB,36800,000000111111110000000001111111000000000000000000000000000000000000000000000000000011111110000000000000000011111110000000000000000001111110000000000000000000000000000000,1,0
172,2,TypeB,36800,000000111111110000000001111111000000000000000000000000000000000000000000000000000011111110000000000000000011111110000000000000000001111110000000000000000000000000000000,1,0
173,3,TypeC,30000,000000000000111111000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000111110000000000111111000000000011111000000000000000000000,1,0
174,4,TypeC,30000,000000000000111111000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000111110000000000111111000000000011111000000000000000000000,1,0
175,0,TypeA,57200,000000000000000000000000001111111111000000000000000000000000000000011111111100000000000011111111100000000000000000000011111111110000000000000000000000011111111100000000,1,0
176,1,TypeB,39100,000000000000000000000000000001111111000000000000000000000000001111111100000000000011111110000000000000000000000111111110000000000000000000000000000000000000011111110000,1,0
177,2,TypeB,39100,000000000000000000000000000001111111000000000000000000000000001111111100000000000011111110000000000000000000000111111110000000000000000000000000000000000000011111110000,1,0
178,3,TypeC,23800,000000000000000000000000000000000111000000000000000000000000000000011111100000000000000000001111100000000000000000000000000000000000000000000011111000000000011100000000,1,0
179,4,TypeC,23800,000000000000000000000000000000000111000000000000000000000000000000011111100000000000000000001111100000000000000000000000000000000000000000000011111000000000011100000000,1,0
180,0,TypeA,53900,000000000000000011111111100000000000000000000000000000000000000000000111111111100000000000000000000000011111111100000000000000111111111100000000000000011111111100000000,1,0
181,1,TypeB,41500,111111100000000011111111000000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000111111110000000000000011111110000,1,0
182,2,TypeB,41500,111111100000000011111111000000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000111111110000000000000011111110000,1,0
183,3,TypeC,29100,000000000000011110000000000000000000000000000000000000000000000000000000000000000000011110000000000000011111000000000000000000000001111110000000000000000000000000011111,1,0
184,4,TypeC,29100,000000000000011110000000000000000000000000000000000000000000000000000000000000000000011110000000000000011111000000000000000000000001111110000000000000000000000000011111,1,0
185,0,TypeA,55500,000000000000000000000000111111111100000000000000111111111000000000000000000000000000000000000000000000011111111110000000000000111111111100000000000000011111111100000000,1,0
186,1,TypeB,42500,111111100000000000000011111111000000000000000000000000000000000000000000000111111110000000000000000000000000000000000000111111110000000000000000000000011111110000000000,1,0
187,2,TypeB,42500,111111100000000000000011111111000000000000000000000000000000000000000000000111111110000000000000000000000000000000000000111111110000000000000000000000011111110000000000,1,0
188,3,TypeC,28000,000000000000000000000111111000000000000000000000000000000000000000000000000000000000000000001111100000000000011110000000000000000001111110000000000000000000000000001111,1,0
189,4,TypeC,28000,000000000000000000000111111000000000000000000000000000000000000000000000000000000000000000001111100000000000011110000000000000000001111110000000000000000000000000001111,1,0
190,0,TypeA,53300,000000000000000000000000001111111111000000000000001111111111000000000000000000000000000000000000000000011111111110000000000000111111110000000000000000011111111100000000,1,0
191,1,TypeB,39400,000000000000000011111111000000000111111100000000000000001111111000000000000000000011111110000000000000000000000000000000000000111111110000000000000000000000000000000000,1,0
192,2,TypeB,39400,000000000000000011111111000000000111111100000000000000001111111000000000000000000011111110000000000000000000000000000000000000111111110000000000000000000000000000000000,1,0
193,3,TypeC,27800,000000000000111110000000000001111100000000000000000000001111110000000000000000000000000000000000000000011100000000000000000000000000011110000000000000000000000000000000,1,0
194,4,TypeC,27800,000000000000111110000000000001111100000000000000000000001111110000000000000000000000000000000000000000011100000000000000000000000000011110000000000000000000000000000000,1,0
195,0,TypeA,59100,000000000000000000000000111111111100000000000000000000000000000000011111111100000000000011111111100000000000000000000011111111110000000000000000000000111111111100000000,1,0
196,1,TypeB,43800,000000000000111111110000000000000000000000000000000000001111111100000000000000000011111110000000000000000000000000000000000000111111110000000000000000111111110000000000,1,0
197,2,TypeB,43800,000000000000111111110000000000000000000000000000000000001111111100000000000000000011111110000000000000000000000000000000000000111111110000000000000000111111110000000000,1,0
198,3,TypeC,28400,000000000000111110000000000000000000000000000000000000000000001111110000000000000000000000000001110000000000000000000000001111110000000000000000001111110000000000000000,1,0
199,4,TypeC,28400,000000000000111110000000000000000000000000000000000000000000001111110000000000000000000000000001110000000000000000000000001111110000000000000000001111110000000000000000,1,0
200,0,TypeA,57000,000000000000000011111111100000000000000000000000111111111000000000000111111111100000000000000000000000011111111110000000000000000000000000000000000000111111111100000000,1,0
201,1,TypeB,39400,111111100000000000000000000001111111000000000000000000001111111000000000000000000000000000000000000000000000000111111110000000000000000111111110000000000000000000000000,1,0
202,2,TypeB,39400,111111100000000000000000000001111111000000000000000000001111111000000000000000000000000000000000000000000000000111111110000000000000000111111110000000000000000000000000,1,0
203,3,TypeC,34300,000000000000000000011111100000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000000001111110000000000000000000111100000000,1,0
204,4,TypeC,34300,000000000000000000011111100000000000000000000000000000001111110000000000000000000000000000000000000000000001111110000000000000000001111110000000000000000000111100000000,1,0
205,0,TypeA,56700,000000000000000000000000001111111111000000000000111111111100000000000000011111111110000000000000000000011111111100000000000000000000000000000000000000000000011111111100,1,0
206,1,TypeB,38400,000000000000011111110000000000000111111100000000000000000000000000000000000000000011111110000000000000000000011111110000000000000000000000000000000000000000001111111100,1,0
207,2,TypeB,38400,000000000000011111110000000000000111111100000000000000000000000000000000000000000011111110000000000000000000011111110000000000000000000000000000000000000000001111111100,1,0
208,3,TypeC,26200,000000000000011110000000000000000001111100000000000000000000000000000000000000000000000000001111100000000000000111110000000000000000000000000000000000000000011100000000,1,0
209,4,TypeC,26200,000000000000011110000000000000000001111100000000000000000000000000000000000000000000000000001111100000000000000111110000000000000000000000000000000000000000011100000000,1,0
210,0,TypeA,57400,000000000000000000000000001111111111000000000000111111111100000000000000001111111110000000000000000000011111111110000000000000000000000000000000000000111111111100000000,1,0
211,1,TypeB,37000,111111100000000000000000000000000111111100000000000000001111111100000000000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000,1,0
212,2,TypeB,37000,111111100000000000000000000000000111111100000000000000001111111100000000000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000,1,0
213,3,TypeC,29900,000000000000000000011111100000000000000000000000000000000000001111110000000000111110000000000000000000000000000111000000000000000001111110000000000000000000000000000000,1,0
214,4,TypeC,29900,000000000000000000011111100000000000000000000000000000000000001111110000000000111110000000000000000000000000000111000000000000000001111110000000000000000000000000000000,1,0
215,0,TypeA,56100,000000000000000000000001111111100000000000000000000000000000000000000000011111111110000000000000000000011111111110000000000000000000011111111110000000000000001111111111,1,0
216,1,TypeB,43800,111111100000000000000001111111100000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000111111110000000000000000000000111111110000,1,0
217,2,TypeB,43800,111111100000000000000001111111100000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000111111110000000000000000000000111111110000,1,0
218,3,TypeC,32400,000000000000011110000000000000111111000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000001111110000000000000000000001111110000,1,0
219,4,TypeC,32400,000000000000011110000000000000111111000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000001111110000000000000000000001111110000,1,0
220,0,TypeA,55400,111111111000000000000111111111100000000000000000000000000000000000000000000000000111111110000000000000000000000111111111100000000000000000000000000000111111111100000000,1,0
221,1,TypeB,41400,111111100000000000011111111000000000000000000000000000000000000000000000000000000111111110000000000000000000000111111110000000000000000111111110000000000000000000000000,1,0
222,2,TypeB,41400,111111100000000000011111111000000000000000000000000000000000000000000000000000000111111110000000000000000000000111111110000000000000000111111110000000000000000000000000,1,0
223,3,TypeC,29500,000000000000000000011111100000000000000000000000111110000000000000000000000000000111110000000000000000000000000000011111100000000000000000000000001111110000000000000000,1,0
224,4,TypeC,29500,000000000000000000011111100000000000000000000000111110000000000000000000000000000111110000000000000000000000000000011111100000000000000000000000001111110000000000000000,1,0
225,0,TypeA,52700,000000111111110000000000000000000000000000000000000000000000000000011111111100000000000000000000000000011111111110000000000000011111111110000000000000111111111100000000,1,0
226,1,TypeB,41200,000000111111110000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000111111110000000000001111111000000000000000000011111110000,1,0
227,2,TypeB,41200,000000111111110000000000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000111111110000000000001111111000000000000000000011111110000,1,0
228,3,TypeC,29600,000000000000011110000000000000000000000000000000000000000000001111110000000000000000000000000000000000011110000000000000000000111111000000000000001111110000000000000000,1,0
229,4,TypeC,29600,000000000000011110000000000000000000000000000000000000000000001111110000000000000000000000000000000000011110000000000000000000111111000000000000001111110000000000000000,1,0
230,0,TypeA,52200,000000111111110000000000000000000000000000000000000000000000000000011111111100000000000011111111100000000000011111111110000000000000000000000000000000011111111100000000,1,0
231,1,TypeB,38000,000000111111110000000001111111100000000000000000000000000000001111111100000000000011111110000000000000000000011111110000000000000000000000000000000000000000000000000000,1,0
232,2,TypeB,38000,000000111111110000000001111111100000000000000000000000000000001111111100000000000011111110000000000000000000011111110000000000000000000000000000000000000000000000000000,1,0
233,3,TypeC,29300,000000000000011110000000000001111100000000000000111110000000000000011111100000000000000000000000000000000000000000000000000000000001111110000000000000000000000000000000,1,0
234,4,TypeC,29300,000000000000011110000000000001111100000000000000111110000000000000011111100000000000000000000000000000000000000000000000000000000001111110000000000000000000000000000000,1,0
235,0,TypeA,55400,000000111111110000000000000000111111111100000000000000000000000000000000000000000000000000000001111111110000000000000011111111110000000000000000000000111111111100000000,1,0
