Week,Time_exact,exact_FirstSolTime,exact_BestSolTime,Time_pruning,pruning_FirstSolTime,pruning_BestSolTime,pruning_RMP,pruning_MIP,pruning_Pool,pruning_Graph,Time_neighbor,neighbor_FirstSolTime,neighbor_BestSolTime,neighbor_RMP,neighbor_MIP,neighbor_Pool,neighbor_Graph
1,2753.4111330509186,1457.81,1641.82,637.00616979599,609.0361638355255,,381.66778819751926,30.48001620802097,7.9215524948667735,216.51369099295698,595.9419229030609,,,0.0,0.0,49.34411687636748,0.0
2,1638.4449169635773,1584.63,1627.6,1352.8251190185547,1326.8051159191132,,1030.0538607982453,30.763907917076722,60.309461415046826,230.39827891858295,987.1292049884796,,,0.0,0.0,47.9495447082445,0.0
3,582.6507148742676,571.88,571.88,817.2141799926758,790.4341749858856,,598.8892567970324,30.666244332911447,44.200034405104816,142.6796589968726,500.0089361667633,,,0.0,0.0,36.91253362549469,0.0
4,1528.2501049041748,1517.24,1517.24,1049.9833347797394,1023.4233290576935,,791.7114678698126,30.749565874924883,55.84617707761936,170.7465668390505,1524.8800098896027,,,0.0,0.0,75.14053491526283,0.0
5,1025.1578257083893,948.17,1013.91,990.8255288600922,964.7455219459533,,728.3753635950852,30.723648500163108,52.129364161752164,178.67176090856083,684.7805118560791,,,0.0,0.0,47.822312542703,0.0
6,3465.114706993103,1885.79,2070.02,1677.2413382530212,1649.7613330078125,,1317.9510305409785,30.846293833106756,78.21981816808693,247.40755272726528,458.2515799999237,,,0.0,0.0,36.60749875032343,0.0
7,2388.9725189208984,1409.94,1409.94,1111.4987111091614,1085.6287070560456,,817.2244543752167,30.711088416865095,47.78455112478696,214.8559263390489,627.4054319858551,,,0.0,0.0,45.41560853715055,0.0
8,3390.345178127289,2138.41,2262.36,1303.6119329929352,1277.7419279861451,,992.809085667599,30.761121166869998,66.94749788497575,211.9458185392432,969.3400073051453,,,0.0,0.0,50.40379662695341,0.0
9,981.9413750171661,806.79,970.73,994.0672776699066,967.6472729015351,,724.516879319679,30.7021232501138,47.341868489282206,190.58015861874446,1190.4999780654907,,,0.0,0.0,48.599948041373864,0.0
10,1239.504086971283,1228.37,1228.37,1429.5457620620728,1403.0357570552826,,1090.8553700016346,30.778052124893293,71.70179869583808,234.60361735825427,874.5650360584259,,,0.0,0.0,40.39524308266118,0.0
11,680.6710820198059,635.57,669.49,1011.7297291755676,984.7497241687774,,739.9211134642828,30.902720582904294,43.832154465140775,196.20275066467002,2257.926731109619,,,0.0,0.0,73.55555570800789,0.0
12,1463.1387310028076,1267.59,1354.5,924.6186370849609,898.2286311244965,,683.496070206631,31.01580512500368,52.36882045515813,156.87624828703701,1003.5793888568878,,,0.0,0.0,41.3302983706817,0.0
13,483.6792359352112,472.2,472.2,788.7467746734619,761.886771812439,,579.4834267566912,30.692983458051458,48.57742066751234,129.1817817487754,550.676577091217,,,0.0,0.0,37.08246116805822,0.0
14,1794.8390626907349,1731.42,1783.89,1546.409914970398,1520.5899080562592,,1194.4144272971898,30.82369479094632,74.62599041080102,244.27045700186864,1053.734148979187,,,0.0,0.0,35.30833299807273,0.0
15,1493.7847633361816,1276.73,1482.92,753.9757771492004,726.665774049759,,527.2152519570664,30.969289750093594,32.9041001223959,162.2250344918575,685.2535901069641,,,0.0,0.0,45.56367712188512,0.0
