col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
507,0,TypeA,54300,000000000000000000000001111111110000000000000000000000001111111111000000000000000000011111111100000000000000011111111110000000000000011111111110000000000000000000000000,0,0,672581.2544751521
508,1,TypeB,41500,000000000000000000000001111111000000000000000000000000000000000000011111111000000000000000000000000000011111110000000000111111110000000000000111111100000000000000000000,0,0,661056.7234712839
509,2,TypeB,41500,000000000000000000000001111111000000000000000000000000000000000000011111111000000000000000000000000000011111110000000000111111110000000000000111111100000000000000000000,0,0,661056.7234712839
510,3,TypeC,29200,000000000111111000000000000000000000011111100000000000000000000000000000000000000000000000001111100000000000000000000011100000000000011111000000000000000000000000000000,0,0,1096937.0614349134
511,4,TypeC,29200,000000000111111000000000000000000000011111100000000000000000000000000000000000000000000000001111100000000000000000000011100000000000011111000000000000000000000000000000,0,0,1096937.0614349134
512,0,TypeA,55400,000000000000000000000000000011111111110000000000000000001111111111000000000001111111111000000000000011111111110000000000000000111111111100000000000000000000000000000000,1,0,1040981.1542317029
513,1,TypeB,41500,000000000000000000000001111111000000000000000000000000000000000000011111111000000000000000000000000000011111110000000000000000001111111100000000000001111111000000000000,0,0,476615.4374910481
514,2,TypeB,41500,000000000000000000000001111111000000000000000000000000000000000000011111111000000000000000000000000000011111110000000000000000001111111100000000000001111111000000000000,0,0,476615.4374910481
515,3,TypeC,29100,000000000000011111000000000000000000111000000000000000000000111111000000000000000011111000000000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2052542.302735215
516,4,TypeC,29100,000000000000011111000000000000000000111000000000000000000000111111000000000000000011111000000000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2052542.302735215
517,0,TypeA,58000,000000000000000000000001111111110000000000000000000000000000000001111111111000000000000000000000000011111111110000000000000001111111111000000000000001111111111000000000,0,0,1672497.0929399934
518,1,TypeB,38100,000000000000000000000001111111000000000000000000000000000000000001111111000000000000011111111000000000000111111100000000000000000000000000000000000001111111000000000000,0,0,2574066.461406271
519,2,TypeB,38100,000000000000000000000001111111000000000000000000000000000000000001111111000000000000011111111000000000000111111100000000000000000000000000000000000001111111000000000000,0,0,2574066.461406271
520,3,TypeC,31900,000000000000011111000000000000000000000000000000000000000000001111110000000000001111110000000000000011111100000000000000000011111000000000000000000000000000000000000000,1,0,3445249.7637118734
521,4,TypeC,31900,000000000000011111000000000000000000000000000000000000000000001111110000000000001111110000000000000011111100000000000000000011111000000000000000000000000000000000000000,1,0,3445249.7637118734
