col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
0,0,TypeA,47800.0,000000001111111100000000000000000000000000000000000000011111111100000000000000000000000000000000000000011111111100000000000000001111111111000000000000000111111111100000,1,1,1,0
1,1,TypeA,46400.0,000001111111110000000000000000000000000000000000000000001111111100000000000000000000000000000000000000000011111111110000000000011111111000000000000000000111111111000000,1,1,1,0
2,2,TypeB,36100.0,000000000000000000000000000001111111000000000000000000000000000111110000000000011111110000000000011111111000000000000000000000011111110000000000000000000000000000000000,1,1,1,0
3,3,TypeB,31500.0,000000000000111111100000000000000011111100000000000000000000000000000000000000000000011111100000000001111110000000000000000000000000000000000000000111110000000000000000,1,1,1,0
4,4,TypeB,35000.0,000000000000000111111110000000000011111100000000000001111100000000000000000000000000011111111000000000000000111111110000000000000000000000000000000000000000000000000000,1,1,1,0
5,5,TypeC,22500.0,000000000000000000000000001111110000000000000000000000000000000000000000000001110000000000000000000000000000000000000000000000000000011111000000000000011100000000001111,1,1,1,0
6,6,TypeC,23900.0,011111100000000000000000000000000000000000001111110000000000000000000001110000000000011100000000000000000000000000000000000000000000000000011111000000000000000000000000,1,1,1,0
7,7,TypeC,20600.0,000000000000000000000000000000000000000111110000000000000000000001110000000000111000000000000000000000000000000000000000111111000000000000000000000001110000000000000000,1,1,1,0
