==========================================================
 ANALYSIS REPORT: Week 1
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 8,159,000.00
  RMP Relaxed Value (Root): 8,159,000.00
  Integrality Gap       : 0.0000 %
  MIP Best Bound (Final)  : 8,159,000.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 376.4360 sec
  Iterations      : 241
  RMP Time  : 67.4830 s
  MIP Time  : 0.6965 s
  Pool Search Time: 278.9854 s
  Graph Search Time: 0.0000 s
  MIP Decision Variables: 979 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 979
  Columns Added to RMP              : 964
  Columns Added to Queue (Backlog)  : 5608658

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:    2 / Total Gen:    2
       -> Avg Length of Unique Patterns: 27.0 hours
  Type: TypeB  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 31.2 hours
  Type: TypeC  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 20.8 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 34 hours worked
  Emp 2  (TypeB): 29 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | RMP Add    | Queue Add 
107   | 9,156,400.00    | 4          | 18131     
108   | 9,156,400.00    | 4          | 15121     
109   | 9,156,400.00    | 4          | 12880     
110   | 9,156,400.00    | 4          | 12501     
111   | 9,156,400.00    | 4          | 9661      
112   | 9,156,400.00    | 4          | 11667     
113   | 9,156,400.00    | 4          | 11526     
114   | 9,156,400.00    | 4          | 15095     
115   | 9,156,400.00    | 4          | 10772     
116   | 9,156,400.00    | 4          | 8659      
117   | 9,156,400.00    | 4          | 28268     
118   | 9,156,400.00    | 4          | 29974     
119   | 9,156,400.00    | 4          | 25280     
120   | 9,156,400.00    | 4          | 23117     
121   | 9,156,400.00    | 4          | 20659     
122   | 9,156,400.00    | 4          | 19505     
123   | 9,156,400.00    | 4          | 19135     
124   | 9,156,400.00    | 4          | 20087     
125   | 9,156,400.00    | 4          | 19012     
126   | 9,156,400.00    | 4          | 13015     
127   | 9,156,400.00    | 4          | 15668     
128   | 9,156,400.00    | 4          | 17568     
129   | 9,156,400.00    | 4          | 19193     
130   | 9,156,400.00    | 4          | 13410     
131   | 9,156,400.00    | 4          | 20512     
132   | 9,156,400.00    | 4          | 17914     
133   | 9,156,400.00    | 4          | 19066     
134   | 9,156,400.00    | 4          | 18470     
135   | 9,156,400.00    | 4          | 14675     
136   | 9,156,400.00    | 4          | 17289     
137   | 9,156,400.00    | 4          | 18936     
138   | 9,156,400.00    | 4          | 13140     
139   | 9,156,400.00    | 4          | 11877     
140   | 9,156,400.00    | 4          | 15239     
141   | 8,159,000.00    | 4          | 10292     
142   | 8,159,000.00    | 4          | 12548     
143   | 8,159,000.00    | 4          | 10864     
144   | 8,159,000.00    | 4          | 12999     
