col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
0,0,TypeA,47300.0,000000000000000000000000000000000000111111111000000000000000000000000000000000111111111000000000000000111111111100000000000000000111111110000000000000111111110000000000,1,1,1,0
1,1,TypeB,34200.0,000000011111110000000000000000011111100000000000000000000011111111000000000001111111100000000000000000000000000000000000000000000000000000000000000000000011110000000000,1,1,1,0
2,2,TypeB,30000.0,000000011111111000000000000000011110000000000000000000111111100000000000000000000000000000001111111000000000011110000000000000000000000000000000000000000000000000000000,1,1,1,0
3,3,TypeC,19000.0,001110000000000000011111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000000001110000000000000000000001111,1,1,1,0
4,4,TypeC,24600.0,000000000000011110000000000000000000000000000000001111110000000000001110000000000000000000000000000000000000000000000000000000000000111110000000000000000000011100000000,1,1,1,0
