col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
15352,0,TypeA,49200,000001111111110000000000000000001111111110000000000000000000000000000000000000000000000111111111000000000000000000000000000000000111111110000000000000000000011111111110,0,0
15353,1,TypeB,32900,000000000111111110000000000000000000011110000000000000000011110000000000000000000000000000000000000000000000000000000000000000000000111110000000000111111110000000000000,0,0
15354,2,TypeB,32900,000000000111111110000000000000000000011110000000000000000011110000000000000000000000000000000000000000000000000000000000000000000000111110000000000111111110000000000000,0,0
15355,3,TypeC,23500,000000000000000000001111110000000000000000000000001111000000000000000000000000000000000000000001110000000000000000000000000000000000111110000000000111100000000000000000,0,0
15356,4,TypeC,23500,000000000000000000001111110000000000000000000000001111000000000000000000000000000000000000000001110000000000000000000000000000000000111110000000000111100000000000000000,0,0
15357,0,TypeA,48000,000001111111110000000000000000000000000000000000000000000000000000000000000000001111111110000000000000011111111110000000000000000111111110000000000000000000011111111100,0,0
15358,1,TypeB,32500,000000000111111110000000001111111000000000000000000000000011110000000000000000000011111110000000000000000000000000000000000000000000111110000000000000000000000000000000,0,0
15359,2,TypeB,32500,000000000111111110000000001111111000000000000000000000000011110000000000000000000011111110000000000000000000000000000000000000000000111110000000000000000000000000000000,0,0
15360,3,TypeC,27300,000001111100000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000000000000000000000000000000000111110000000000111100000000000000000,0,0
15361,4,TypeC,27300,000001111100000000000000000000000000000000000000001111000000000000000000000000001111110000000000000000000000000000000000000000000000111110000000000111100000000000000000,0,0
15362,0,TypeA,47400,000001111111110000000000000000000000000000000000000000000000000000000000000000001111111110000000000000011111111110000000000000000111111110000000000000001111111110000000,0,0
15363,1,TypeB,33500,000000000111111110000000000000000000011110000000000000000011111111000000000000000011111110000000000000000000000000000000000000000000111110000000000000000000000000000000,0,0
15364,2,TypeB,33500,000000000111111110000000000000000000011110000000000000000011111111000000000000000011111110000000000000000000000000000000000000000000111110000000000000000000000000000000,0,0
15365,3,TypeC,22800,000001111100000000000000000000000000000000000000001111000000000000000000000000000000000000000001110000000000000000000000000000000000111110000000000111100000000000000000,0,0
15366,4,TypeC,22800,000001111100000000000000000000000000000000000000001111000000000000000000000000000000000000000001110000000000000000000000000000000000111110000000000111100000000000000000,0,0
