col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
1051,4,TypeC,30800,000000000000000000000000000000000000000000000111110000000000000000000000000000000000011110000000000000000000000111110000000000001111110000000000000000000000111111000000,1,0,0,13
1052,0,TypeA,54100,000000000000000000000000000000111111111100000000000000001111111111000000000000011111111110000000000000011111111110000000000000000000000000000001111111110000000000000000,0,0,0,23
1053,1,TypeB,40400,011111111000000000000000000000111111000000000000000000001111111100000000000000000000000000000000011111111000000000000000000000000000000000000000000000111111110000000000,1,0,0,17
1054,2,TypeB,40400,011111111000000000000000000000111111000000000000000000001111111100000000000000000000000000000000011111111000000000000000000000000000000000000000000000111111110000000000,1,0,0,12
1055,3,TypeC,29500,011111100000000000000000001111110000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000000111110000000000000000,0,0,0,8
1056,4,TypeC,29500,011111100000000000000000001111110000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000000111110000000000000000,0,0,0,9
1057,0,TypeA,56000,000000000000000000000111111111100000000000000000011111111100000000000001111111110000000000000000000000011111111100000000000000001111111111000000000000000000000000000000,1,0,0,31
1058,1,TypeB,42200,000000000000000000000000000011111111000000000000000000000000000000111111110000000000000000000000011111111000000000000000000000000000111111000000000111111110000000000000,1,0,0,8
1059,2,TypeB,42200,000000000000000000000000000011111111000000000000000000000000000000111111110000000000000000000000011111111000000000000000000000000000111111000000000111111110000000000000,1,0,0,12
1060,3,TypeC,28300,000000000000000000000000000000000000000000000111110000000000000000000001110000000000000000000000000000011111100000000000000000000000111111000000000000111110000000000000,1,0,0,10
1061,4,TypeC,28300,000000000000000000000000000000000000000000000111110000000000000000000001110000000000000000000000000000011111100000000000000000000000111111000000000000111110000000000000,1,0,0,5
1062,0,TypeA,54100,000011111111110000000000001111111111000000000000000000001111111111000000000000011111111100000000000000000000000000000000000000011111111110000000000000000000000000000000,0,0,0,1
1063,1,TypeB,42800,000000000000000111111110000000000011111100000000000000000000000000000000000000000000000000000000000111111110000000000000000000011111111000000000000000111111110000000000,1,0,0,21
1064,2,TypeB,42800,000000000000000111111110000000000011111100000000000000000000000000000000000000000000000000000000000111111110000000000000000000011111111000000000000000111111110000000000,1,0,0,15
1065,3,TypeC,33100,000000000000111110000000000000111111000000000000000000000000000000000000000000000000011111100000000000000000000000011111100000000000111110000000000000000000000000000000,1,0,0,25
1066,4,TypeC,33100,000000000000111110000000000000111111000000000000000000000000000000000000000000000000011111100000000000000000000000011111100000000000111110000000000000000000000000000000,1,0,0,19
1067,0,TypeA,50400,000000000000011111111110000000000000000000000000000000001111111111000000000000011111111110000000000000000000000000000000000000001111111110000000000000000111111111000000,0,0,0,12
1068,1,TypeB,40500,000000000000000011111110000000000000000000000000000000000000000000000000011111110000000000000000011111110000000000000000001111111000000000000000000111111110000000000000,0,0,0,10
1069,2,TypeB,40500,000000000000000011111110000000000000000000000000000000000000000000000000011111110000000000000000011111110000000000000000001111111000000000000000000111111110000000000000,0,0,0,7
1070,3,TypeC,30000,000000000000000000000111111000000000000000000111110000000000000000000000000000000000011111100000000000000000000000000000000000000000011110000000000001111110000000000000,1,0,0,0
1071,4,TypeC,30000,000000000000000000000111111000000000000000000111110000000000000000000000000000000000011111100000000000000000000000000000000000000000011110000000000001111110000000000000,1,0,0,1
1072,0,TypeA,57000,000000000000000000000000001111111111000000000000000000001111111111000000000000000000000000000000011111111110000000000000111111111000000000000000000000000000000111111111,0,0,0,3
