col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
2239,0,TypeA,52200,000000001111111111000000000000011111111110000000000000011111111100000000000000000111111111100000000000000000000000000000000000000000000000000000111111111000000000000000,1,0,3371771.2355736587
2240,3,TypeC,32300,000000000000000000000000000001111100000000001111110000000000000000000000000000000111111000000000000000000000011111100000000000000000000000000000111111000000000000000000,0,0,1505413.5618918408
2241,4,TypeC,32300,000000000000000000000000000001111100000000001111110000000000000000000000000000000111111000000000000000000000011111100000000000000000000000000000111111000000000000000000,0,0,1505413.561891839
2242,3,TypeC,28600,000000000000000000000000000000000000011110000000000000000000000000000000000000000000000011111100000000000000011111100000000000000000011100000000000111111000000000000000,0,0,2421752.6250283085
2243,4,TypeC,28600,000000000000000000000000000000000000011110000000000000000000000000000000000000000000000011111100000000000000011111100000000000000000011100000000000111111000000000000000,0,0,2421752.6250283066
2244,1,TypeB,41400,000000000001111111000000000000000000011111111000000000000000000000000000000000000001111111100000000000000111111110000000000000000000011111111000000000000000000000000000,0,0,313344.3539262321
2245,2,TypeB,41400,000000000001111111000000000000000000011111111000000000000000000000000000000000000001111111100000000000000111111110000000000000000000011111111000000000000000000000000000,0,0,313344.3539262321
2246,3,TypeC,31000,111111000000000001111100000000000001111110000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000111111000000000000000000,0,0,1619916.1099796388
2247,4,TypeC,31000,111111000000000001111100000000000001111110000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000111111000000000000000000,0,0,1619916.109979637
2248,0,TypeA,53300,000000001111111111000000000000011111111110000000000000011111111110000000000000000000000000000000000000000000000000000000000000000000011111111110000000000001111111111000,0,0,2479438.8345779497
2249,3,TypeC,27800,000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000000000011110000000000111100000000000000001111110000000000000111111000,0,0,5988921.688164756
