Week,Time_pruning,pruning_FirstSolTime,pruning_BestSolTime,pruning_RMP,pruning_MIP,pruning_Pool,pruning_Graph,Time_neighbor,neighbor_FirstSolTime,neighbor_BestSolTime,neighbor_RMP,neighbor_MIP,neighbor_Pool,neighbor_Graph
1,638.7550299167633,610.7450258636475,,384.1246480778791,30.641307750251144,7.840363325085491,215.72676871530712,284.9384648799896,,,147.76762841874734,0.0,15.37538179103285,0.0
2,1245.0272450447083,1219.4872400379181,,946.6387820020318,30.758182666730136,53.8470586608164,212.83582900464535,908.0103750228882,,,762.9883796605282,0.0,29.104891045484692,0.0
3,969.9741380214691,944.7641330146789,,741.1251838314347,30.75956670800224,43.71088141249493,153.55989982932806,620.8339960575104,,,202.99202375113964,0.0,17.42588162748143,0.0
4,775.6566300392151,749.2166228866577,,574.4038245379925,30.7275373339653,38.06622017780319,131.73138457303867,184.5651819705963,,,55.21047908300534,0.0,11.334077874664217,0.0
5,803.546196937561,777.4261921691894,,594.5895039639436,30.721937667112797,41.54917612206191,135.92883025296032,519.0624620914459,,,103.20464791636914,0.0,13.242829168681055,0.0
6,1418.9489710330963,1392.5889660263063,,1119.7527846167795,31.032097458839417,63.65865508513525,201.3673194916919,215.48372077941895,,,95.32512995786965,0.0,11.28193095838651,0.0
7,952.8653528690338,926.1353500080108,,693.1834439984523,30.653553791809827,39.100855285767466,189.1679204502143,180.30134105682373,,,72.9694459605962,0.0,11.80358995590359,0.0
8,1325.8928489685059,1300.0728439617158,,1030.2007914623246,30.814571917057037,60.93933165865019,202.23156942380592,785.2490599155426,,,205.96599529031664,0.0,16.40813041618094,0.0
9,1050.1629009246826,1024.012896156311,,780.9878606763668,30.7097628749907,40.707767960149795,196.9530109637417,643.2712903022766,,,172.19186778599396,0.0,15.207604582421482,0.0
10,1443.2603471279144,1418.8103421211242,,1133.4257974517532,30.827429125085473,66.01850946061313,210.13121958170086,373.3174738883972,,,258.60946991993114,0.0,17.961504457052797,0.0
11,1187.168673992157,1160.2386689853668,,890.7306129140779,30.719930374994874,46.33574586547911,218.5030525876209,1149.0181879997253,,,330.604060748592,0.0,21.0555121274665,0.0
12,1102.0229806900024,1076.1229775905608,,842.5509135830216,30.76171683287248,53.14123573899269,174.56828541308641,279.29336380958557,,,154.7918825414963,0.0,14.09961899695918,0.0
13,1129.1400792598724,1101.6800740146637,,861.8008882515132,30.943987250328064,51.35218164790422,184.00643229531124,320.05794382095337,,,98.48912466643378,0.0,13.917306413408369,0.0
14,1008.6959538459778,981.605948600769,,752.3830452547409,30.939055250026286,49.795198128558695,174.62613815255463,557.994265794754,,,83.40763058280572,0.0,11.176956623792648,0.0
15,690.1919388771057,663.8419329166412,,509.6309148403816,30.726928750053048,38.08632287476212,111.03755283774808,246.31494998931885,,,129.9864086639136,0.0,14.083113293163478,0.0
