col_id,emp_id,emp_type,cost,schedule_pattern
481,1,TypeB,42400,000000111111110000000000000000000000011111111000000000000000000000000001111111100000000000000000000000000111111110000000000000000000011111111000000000000000000000000000
482,2,TypeB,42400,000000111111110000000000000000000000011111111000000000000000000000000001111111100000000000000000000000000111111110000000000000000000011111111000000000000000000000000000
483,3,TypeC,32100,000000000000011111000000000000000011111100000000000000000000000000000000000000000000000001111100000000000111110000000000000000000000000000000000000000000000000111111000
484,4,TypeC,32100,000000000000011111000000000000000011111100000000000000000000000000000000000000000000000001111100000000000111110000000000000000000000000000000000000000000000000111111000
485,0,TypeA,51400,000000111111111100000000000000011111111110000000000000011111111100000000000000000000000000000000000000000111111111100000000000000000000000000000000000001111111111000000
486,1,TypeB,39000,000000111111110000000000000000000000011111111000000000000000011111111000000000000001111111000000000000000111111110000000000000000000000000000000000000000000000000000000
487,2,TypeB,39000,000000111111110000000000000000000000011111111000000000000000011111111000000000000001111111000000000000000111111110000000000000000000000000000000000000000000000000000000
488,3,TypeC,31500,000000000000011111000000000000000000000000000000000000000000011111100000000000000000000001111100000000000111110000000000000000000000000000000000000000000000000111111000
489,4,TypeC,31500,000000000000011111000000000000000000000000000000000000000000011111100000000000000000000001111100000000000111110000000000000000000000000000000000000000000000000111111000
490,0,TypeA,52000,000000111111111100000000000000011111111110000000000000011111111100000000000000000000000000000000000000011111111110000000000000000000000000000000000000001111111111000000
491,1,TypeB,40400,111111110000000000000000000000000000011111111000000000000000011111110000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000000000000
492,2,TypeB,40400,111111110000000000000000000000000000011111111000000000000000011111110000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000000000000
493,3,TypeC,32500,000000000001111100000000000000000000000000000000000011111100000000000000000000000000000001111100000000000001111110000000000000000000000000000000000000111111000000000000
494,4,TypeC,32500,000000000001111100000000000000000000000000000000000011111100000000000000000000000000000001111100000000000001111110000000000000000000000000000000000000111111000000000000
495,0,TypeA,55500,000000001111111111000000000001111111110000000000000000011111111100000000000000000000000000000000011111111110000000000000000000000000000000000111111111100000000000000000
496,1,TypeB,42400,000000111111110000000000000000000000011111111000000000000000011111111000000000111111110000000000000000000000000000000000000000011111111000000000000000000000000000000000
497,2,TypeB,42400,000000111111110000000000000000000000011111111000000000000000011111111000000000111111110000000000000000000000000000000000000000011111111000000000000000000000000000000000
498,3,TypeC,32400,000000001111110000000000000000000000000000001111110000000000000000000000000000000000000011111100000000000000000000000000000000000000000000001111110000000000000111111000
499,4,TypeC,32400,000000001111110000000000000000000000000000001111110000000000000000000000000000000000000011111100000000000000000000000000000000000000000000001111110000000000000111111000
500,0,TypeA,52000,000000111111111100000000000001111111110000000000000000011111111100000000000000000000000000000111111111000000000000000000000000000000000000000000000000011111111100000000
501,1,TypeB,44800,000000111111110000000000000000000000000000000000000000000000000000000001111111100000000000000000000000000111111110000000000000011111111000000000111111110000000000000000
502,2,TypeB,44800,000000111111110000000000000000000000000000000000000000000000000000000001111111100000000000000000000000000111111110000000000000011111111000000000111111110000000000000000
503,3,TypeC,31500,000000000000011111000000000000000000000000000000000000000000000000000000000000000001111000000000000000001111110000000000000000000000000000000111111000000000000111111000
504,4,TypeC,31500,000000000000011111000000000000000000000000000000000000000000000000000000000000000001111000000000000000001111110000000000000000000000000000000111111000000000000111111000
505,0,TypeA,54100,000000111111111100000000000001111111110000000000000000011111111100000000000000000000000000000111111111000000000000000000000000000000000000000000111111111000000000000000
506,1,TypeB,42400,000000111111110000000000000000000000011111111000000000000000000000000001111111100000000000000000000000000111111110000000000000011111111000000000000000000000000000000000
507,2,TypeB,42400,000000111111110000000000000000000000011111111000000000000000000000000001111111100000000000000000000000000111111110000000000000011111111000000000000000000000000000000000
508,3,TypeC,31300,000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000111110000000000000001111110000000000000111111000
509,4,TypeC,31300,000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000111110000000000000001111110000000000000111111000
510,0,TypeA,51400,111111111000000000000000000001111111110000000000000000011111111100000000000000000000000000000000000000001111111111000000000000000000000000000000000000011111111100000000
511,1,TypeB,41400,000000000000001111111100000000000111111110000000000000000111111100000000000000000001111111100000000000000000000000000000111111110000000000000000000000000000000000000000
512,2,TypeB,41400,000000000000001111111100000000000111111110000000000000000111111100000000000000000001111111100000000000000000000000000000111111110000000000000000000000000000000000000000
