col_id,emp_id,emp_type,cost,schedule_pattern
133,3,TypeB,33500,000000001111111000000000000000000000000000011111110000000000000000000000000000000000111110000000000001111111100000000000000000000000000000000000000000000111110000000000
134,4,TypeB,33500,000000001111111000000000000000000000000000011111110000000000000000000000000000000000111110000000000001111111100000000000000000000000000000000000000000000111110000000000
135,5,TypeB,33500,000000001111111000000000000000000000000000011111110000000000000000000000000000000000111110000000000001111111100000000000000000000000000000000000000000000111110000000000
136,6,TypeC,28200,000000000000011110000000000000000000000000000000000000000000000000000000000000000000111110000000000001111000000000001111110000000000000000000000000000000111110000000000
137,7,TypeC,28200,000000000000011110000000000000000000000000000000000000000000000000000000000000000000111110000000000001111000000000001111110000000000000000000000000000000111110000000000
138,8,TypeC,28200,000000000000011110000000000000000000000000000000000000000000000000000000000000000000111110000000000001111000000000001111110000000000000000000000000000000111110000000000
139,9,TypeC,28200,000000000000011110000000000000000000000000000000000000000000000000000000000000000000111110000000000001111000000000001111110000000000000000000000000000000111110000000000
140,0,TypeA,47700,000000000000000000000000000000001111111110000000000000000111111110000000000000111111111000000000000000001111111110000000000000000000000000000000000000000000011111111110
141,1,TypeA,47700,000000000000000000000000000000001111111110000000000000000111111110000000000000111111111000000000000000001111111110000000000000000000000000000000000000000000011111111110
142,2,TypeB,35600,000000000000000000000000000000001111111000000000000000000111110000000000000000111111110000000000000000000000000000000000000000000000000000000000001111111100000000011110
143,3,TypeB,35600,000000000000000000000000000000001111111000000000000000000111110000000000000000111111110000000000000000000000000000000000000000000000000000000000001111111100000000011110
144,4,TypeB,35600,000000000000000000000000000000001111111000000000000000000111110000000000000000111111110000000000000000000000000000000000000000000000000000000000001111111100000000011110
145,5,TypeB,35600,000000000000000000000000000000001111111000000000000000000111110000000000000000111111110000000000000000000000000000000000000000000000000000000000001111111100000000011110
146,6,TypeC,25400,000111111000000000000000000000000000001110000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000001110
147,7,TypeC,25400,000111111000000000000000000000000000001110000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000001110
148,8,TypeC,25400,000111111000000000000000000000000000001110000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000001110
149,9,TypeC,25400,000111111000000000000000000000000000001110000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000001110
150,0,TypeA,55100,000000000000000000000000000000000000000000000000111111111100000000000001111111100000000000000000000000001111111110000000000001111111111000000000000011111111110000000000
151,1,TypeA,55100,000000000000000000000000000000000000000000000000111111111100000000000001111111100000000000000000000000001111111110000000000001111111111000000000000011111111110000000000
